[individuals]
496
[dimensions]
3
[landmarks]
119
[rawpoints]
'#1 Gca_F_B_SMF_4509
-1.037853e+01 -6.613709e+00 5.336626e+01
-9.170887e+00 -6.282542e+00 5.639927e+01
-9.715559e+00 5.707637e+00 5.362200e+01
-8.590811e+00 6.542901e+00 5.536693e+01
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
-1.638779e+00 -1.811230e+01 5.091220e+01
NA NA NA
NA NA NA
-1.737637e+00 -1.341722e+01 4.986886e+01
NA NA NA
NA NA NA
NA NA NA
NA NA NA
-7.163512e+00 -1.177604e+01 5.027377e+01
-7.881023e+00 -1.198236e+01 5.183375e+01
-5.795629e+00 -1.164743e+01 5.674281e+01
-6.075279e+00 -1.213929e+01 5.591221e+01
-1.196749e+01 -4.318422e-01 5.381986e+01
-1.118277e+01 -3.326426e+00 5.427198e+01
-1.085988e+01 -3.678769e+00 5.477842e+01
-1.048579e+01 -4.264868e+00 5.514881e+01
-1.041117e+01 -3.626647e+00 5.550185e+01
-1.030754e+01 -3.175263e+00 5.607959e+01
-1.047347e+01 -3.659180e-01 5.676688e+01
-6.310502e+00 2.848282e+00 4.991467e+01
-3.794751e+00 2.656267e+00 5.597156e+01
-7.151171e+00 5.074237e+00 5.121548e+01
-5.712453e+00 5.296777e+00 5.534266e+01
-1.159980e+01 6.293424e+00 4.552291e+01
-4.833662e+00 8.497086e+00 6.226273e+01
-1.643997e+01 1.304552e+01 5.317706e+01
-1.354073e+01 1.321426e+01 6.053483e+01
-1.378402e+01 1.319257e+01 4.959120e+01
NA NA NA
-1.387789e+01 1.461373e+01 5.632231e+01
-1.179290e+01 1.864191e+01 5.532003e+01
4.748546e-01 -1.397940e+01 5.125047e+01
1.742186e+00 -8.975750e+00 5.041190e+01
3.494638e+00 -4.109211e+00 4.964274e+01
5.158931e+00 7.977010e-01 4.893689e+01
3.684801e+00 5.461825e+00 4.921894e+01
NA NA NA
2.509250e+00 1.415656e+01 4.948614e+01
-1.830019e-01 1.706443e+01 5.037090e+01
-3.671540e+00 1.875832e+01 5.157413e+01
-6.307280e+00 2.165938e+01 5.263371e+01
-7.166888e+00 3.201854e+00 4.170854e+01
-5.941500e+00 4.985163e+00 4.536868e+01
-4.259282e+00 8.536412e+00 4.374850e+01
-2.630521e+00 1.246169e+01 4.359156e+01
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
2.509250e+00 1.415656e+01 4.948614e+01
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
1.591922e+00 1.115743e+01 5.902478e+01
1.288733e+00 7.939404e+00 5.991954e+01
1.809295e+00 4.656811e+00 5.955605e+01
8.436362e-01 3.688955e+00 6.261957e+01
